GEO_ID,NAME,P_Total_HH_SingleFamily,P_Total_HH_W.MinorsSingleFamily,P_Total_IAP_B,P_Total_IAP_W,P_Total_IBP_B,P_Total_IBP_W,Male_FT_Median_Earnings,Female_FT_Median_Earnings,Male_FT_Median_Earnings_B,Female_FT_Median_Earnings_B,Male_FT_Median_Earnings_W,Female_FT_Median_Earnings_W,Male_Other_Median_Earnings,Female_Other_Median_Earnings,Male_Other_Median_Earnings_B,Female_Other_Median_Earnings_B,Male_Other_Median_Earnings_W,Female_Other_Median_Earnings_W,Total_Unemployment_Rate,P_Total_Car_truck_van_B,P_Total_Car_truck_van_W,P_Total_HHOnSNAP_W.MinorsSingleFamily
0500000US28081,"Lee County, Mississippi",20.31706942,13.78174542,70.14937759,88.51651232,29.85062241,11.48348768,41640,31287,31698,25636,45596,35173,9574,10298,7866,10428,10272,10535,6.269161904,95.59648467,95.80374189,13.78174542
0500000US28083,"Leflore County, Mississippi",31.47847666,22.17237759,50.44691416,88.49086462,49.55308584,11.50913538,41250,28259,32368,24067,53468,41577,6250,7414,5800,7068,7865,10216,12.00308761,96.82265585,91.98793161,22.17237759
0500000US28085,"Lincoln County, Mississippi",21.79447134,14.88364829,61.16570328,82.93227913,38.83429672,17.06772087,50311,30184,29795,23555,52883,32022,11099,10045,7553,10399,12295,9878,7.448314925,94.44444444,95.92323416,14.88364829
0500000US28087,"Lowndes County, Mississippi",23.06672559,15.17012815,65.29656814,89.42504477,34.70343186,10.57495523,44656,31786,33998,24537,50613,37670,11690,9071,9324,8577,15399,9761,10.99495057,97.25600249,93.45743225,15.17012815
0500000US28089,"Madison County, Mississippi",20.15362583,13.09204531,77.83062249,95.47771145,22.16937751,4.522288547,55968,41569,41900,35197,70533,46300,9509,10751,7062,9634,11584,11554,5.068665092,96.58810325,95.61929596,13.09204531
0500000US28091,"Marion County, Mississippi",20.27516293,12.56853212,55.58369207,82.55528256,44.41630793,17.44471744,40454,22245,31658,20053,44544,31886,12354,10585,7647,6389,17204,11742,8.227344992,92.79517163,89.58710314,12.56853212
0500000US28093,"Marshall County, Mississippi",22.12626108,12.00703149,79.29934273,85.38171263,20.70065727,14.61828737,41002,36002,35556,33793,45561,40000,12713,9542,8281,9281,20537,9914,6.167747005,90.51668806,91.97319841,12.00703149
0500000US28095,"Monroe County, Mississippi",19.76926364,11.7504629,71.32304815,85.8753783,28.67695185,14.1246217,42023,30017,32087,24656,47476,32727,11993,9892,14336,8948,11228,10936,7.373124801,95.99003172,95.41387025,11.7504629
0500000US28097,"Montgomery County, Mississippi",27.01149425,16.11405836,55.48837209,88.1610247,44.51162791,11.8389753,36664,34550,35875,26188,38960,40798,16641,8225,NA,9375,17109,8406,9.103078983,96.39519359,95.05655635,16.11405836
0500000US28099,"Neshoba County, Mississippi",25.47108512,18.45354126,68.03455724,83.04869605,31.96544276,16.95130395,41595,30224,41484,26296,46500,31361,10443,9213,12829,7286,8699,10471,8.52805477,94.06451613,95.59399919,18.45354126
